engine,uncompressed_size,compressed_size
bulk_deflate,21724891,21067
bulk_deflate,21725149,21067
bulk_deflate,21725407,21067
bulk_deflate,21725665,21067
bulk_deflate,21725923,21068
bulk_deflate,21726181,21068
bulk_deflate,21726439,21068
bulk_deflate,21726697,21068
bulk_deflate,21726955,21069
bulk_deflate,21727213,21069
bulk_deflate,21727471,21069
bulk_deflate,21727729,21069
bulk_deflate,21727987,21070
bulk_deflate,21728245,21070
bulk_deflate,21728503,21070
bulk_deflate,21728761,21070
bulk_deflate,21729019,21071
bulk_deflate,21729277,21071
bulk_deflate,21729535,21071
bulk_deflate,21729793,21071
bulk_deflate,21730051,21072
bulk_deflate,21730309,21072
bulk_deflate,21730567,21072
bulk_deflate,21730825,21072
bulk_deflate,21731083,21073
bulk_deflate,21731341,21073
bulk_deflate,21731599,21073
bulk_deflate,21731857,21073
bulk_deflate,21732115,21074
bulk_deflate,21732373,21074
bulk_deflate,21732631,21074
bulk_deflate,21732889,21074
bulk_deflate,21733147,21075
bulk_deflate,21733405,21075
bulk_deflate,21733663,21075
bulk_deflate,21733921,21075
bulk_deflate,21734179,21076
bulk_deflate,21734437,21076
bulk_deflate,21734695,21076
bulk_deflate,21734953,21076
bulk_deflate,21735211,21077
bulk_deflate,21735469,21077
bulk_deflate,21735727,21077
bulk_deflate,21735985,21077
bulk_deflate,21736243,21078
bulk_deflate,21736501,21078
bulk_deflate,21736759,21078
bulk_deflate,21737017,21078
bulk_deflate,21737275,21079
bulk_deflate,21737533,21079
bulk_deflate,21737791,21079
bulk_deflate,21738049,21079
bulk_deflate,21738307,21080
bulk_deflate,21738565,21080
bulk_deflate,21738823,21080
bulk_deflate,21739081,21080
bulk_deflate,21739339,21081
bulk_deflate,21739597,21081
bulk_deflate,21739855,21081
bulk_deflate,21740113,21081
bulk_deflate,21740371,21082
bulk_deflate,21740629,21082
bulk_deflate,21740887,21082
bulk_deflate,21741145,21082
bulk_deflate,21741403,21083
bulk_deflate,21741661,21083
bulk_deflate,21741919,21083
bulk_deflate,21742177,21083
bulk_deflate,21742435,21084
bulk_deflate,21742693,21084
bulk_deflate,21742951,21084
bulk_deflate,21743209,21084
bulk_deflate,21743467,21085
bulk_deflate,21743725,21085
bulk_deflate,21743983,21085
bulk_deflate,21744241,21085
bulk_deflate,21744499,21086
bulk_deflate,21744757,21086
bulk_deflate,21745015,21086
bulk_deflate,21745273,21086
bulk_deflate,21745531,21087
bulk_deflate,21745789,21087
bulk_deflate,21746047,21087
bulk_deflate,21746305,21087
bulk_deflate,21746563,21088
bulk_deflate,21746821,21088
bulk_deflate,21747079,21088
bulk_deflate,21747337,21088
bulk_deflate,21747595,21089
bulk_deflate,21747853,21089
bulk_deflate,21748111,21089
bulk_deflate,21748369,21089
bulk_deflate,21748627,21090
bulk_deflate,21748885,21090
bulk_deflate,21749143,21090
bulk_deflate,21749401,21090
bulk_deflate,21749659,21091
bulk_deflate,21749917,21091
bulk_deflate,21750175,21091
bulk_deflate,21750433,21091
bulk_deflate,21750691,21092
bulk_deflate,21750949,21092
bulk_deflate,21751207,21092
bulk_deflate,21751465,21092
bulk_deflate,21751723,21093
bulk_deflate,21751981,21093
bulk_deflate,21752239,21093
bulk_deflate,21752497,21093
bulk_deflate,21752755,21094
bulk_deflate,21753013,21094
bulk_deflate,21753271,21094
bulk_deflate,21753529,21094
bulk_deflate,21753787,21095
bulk_deflate,21754045,21095
bulk_deflate,21754303,21095
bulk_deflate,21754561,21095
bulk_deflate,21754819,21096
bzip2,21740000,50
bzip2,21740001,50
bzip2,21740002,50
bzip2,21740003,50
bzip2,21740004,50
bzip2,21740005,50
bzip2,21740006,50
bzip2,21740007,50
bzip2,21740008,50
bzip2,21740009,50
bzip2,21740010,50
bzip2,21740011,50
bzip2,21740012,50
bzip2,21740013,50
bzip2,21740014,48
bzip2,21740015,48
bzip2,21740016,48
bzip2,21740017,48
bzip2,21740018,48
bzip2,21740019,48
bzip2,21740020,48
bzip2,21740021,48
bzip2,21740022,48
bzip2,21740023,48
bzip2,21740024,48
bzip2,21740025,46
bzip2,21740026,46
bzip2,21740027,47
bzip2,21740028,47
bzip2,21740029,50
bzip2,21740030,50
bzip2,21740031,50
bzip2,21740032,50
bzip2,21740033,50
bzip2,21740034,50
bzip2,21740035,50
bzip2,21740036,50
bzip2,21740037,50
bzip2,21740038,50
bzip2,21740039,50
bzip2,21740040,50
bzip2,21740041,50
bzip2,21740042,50
bzip2,21740043,50
bzip2,21740044,50
bzip2,21740045,50
bzip2,21740046,50
bzip2,21740047,50
bzip2,21740048,50
bzip2,21740049,50
bzip2,21740050,50
bzip2,21740051,50
bzip2,21740052,50
bzip2,21740053,50
bzip2,21740054,50
bzip2,21740055,50
bzip2,21740056,50
bzip2,21740057,50
bzip2,21740058,50
bzip2,21740059,50
bzip2,21740060,50
bzip2,21740061,50
bzip2,21740062,50
bzip2,21740063,50
bzip2,21740064,50
bzip2,21740065,50
bzip2,21740066,50
bzip2,21740067,50
bzip2,21740068,50
bzip2,21740069,50
bzip2,21740070,50
bzip2,21740071,50
bzip2,21740072,50
