"class","zipped_size","unzipped_size","label"
"none_deflate",4161905,4294967281,""
"none_deflate",8323788,8589934562,""
"none_deflate",16647554,17179869124,""
"none_deflate",33295086,34359738248,""
"none_deflate",66590150,68719476496,""
"none_deflate",133180278,137438952992,""
"none_deflate",266360590,274877905984,""
"none_deflate",532721230,549755811968,""
"none_deflate",1065442510,1099511623936,""
"none_deflate",2130885070,2199023247872,""
"none_deflate",4261770190,4398046495744,""
"none_deflate",8523541862,8796092991488,""
"none_deflate",17047086438,17592185982976,""
"none_deflate",34094175590,35184371965952,""
"none_deflate",68188353894,70368743931904,""
"none_deflate",136376710502,140737487863808,""
"none_deflate",272745135036,281466385793054,""
"none_deflate",350,242521,""
"none_deflate",475,371521,""
"none_deflate",662,564505,""
"none_deflate",943,854497,""
"none_deflate",1364,1288969,""
"none_deflate",1996,1941193,""
"none_deflate",2944,2919529,""
"none_deflate",4366,4387033,""
"none_deflate",6499,6588289,""
"none_deflate",9698,9889657,""
"none_deflate",14497,14842225,""
"none_deflate",21695,22270561,""
"none_deflate",32492,33413065,""
"none_deflate",48688,50127337,""
"none_deflate",72982,75198745,""
"none_deflate",109423,112805857,""
"none_deflate",164084,169216009,""
"none_deflate",246076,253831753,""
"none_deflate",369064,380755369,""
"none_deflate",553546,571140793,""
"none_deflate",830269,856718929,""
"none_deflate",1245353,1285085617,""
"none_deflate",1867979,1927635649,""
"none_deflate",2801918,2891460697,""
"none_deflate_zip64",458,242521,""
"none_deflate_zip64",583,371521,""
"none_deflate_zip64",770,564505,""
"none_deflate_zip64",1051,854497,""
"none_deflate_zip64",1472,1288969,""
"none_deflate_zip64",2104,1941193,""
"none_deflate_zip64",3052,2919529,""
"none_deflate_zip64",4474,4387033,""
"none_deflate_zip64",6607,6588289,""
"none_deflate_zip64",9806,9889657,""
"none_deflate_zip64",14605,14842225,""
"none_deflate_zip64",21803,22270561,""
"none_deflate_zip64",32600,33413065,""
"none_deflate_zip64",48796,50127337,""
"none_deflate_zip64",73090,75198745,""
"none_deflate_zip64",109531,112805857,""
"none_deflate_zip64",164192,169216009,""
"none_deflate_zip64",246184,253831753,""
"none_deflate_zip64",369172,380755369,""
"none_deflate_zip64",553654,571140793,""
"none_deflate_zip64",830377,856718929,""
"none_deflate_zip64",1245461,1285085617,""
"none_deflate_zip64",1868087,1927635649,""
"none_deflate_zip64",2802026,2891460697,""
"none_deflate_zip64",4202935,4337198785,""
"none_deflate_zip64",6304298,6505805401,""
"none_deflate_zip64",9456343,9758715841,""
"none_deflate_zip64",14184410,14638080985,""
"none_deflate_zip64",21276511,21957129217,""
"none_deflate_zip64",31914662,32935701049,""
"none_deflate_zip64",47871889,49403559313,""
"none_deflate_zip64",71807729,74105346193,""
"none_deflate_zip64",107711489,111158026513,""
"none_deflate_zip64",161567129,166737046993,""
"none_deflate_zip64",242350589,250105577713,""
"none_deflate_zip64",363525779,375158373793,""
"none_deflate_zip64",545288564,562737567913,""
"none_deflate_zip64",817932742,844106359609,""
"none_deflate_zip64",1226899009,1266159547153,""
"none_deflate_zip64",1840348409,1899239327953,""
"none_deflate_zip64",2760522509,2848858999153,""
"none_deflate_zip64",4140783659,4273288505953,""
"none_deflate_zip64",6211175384,6409932766153,""
"none_deflate_zip64",9316762972,9614899156969,""
"none_deflate_zip64",13975144354,14422348743193,""
"none_deflate_zip64",20962716427,21633523122529,""
"none_deflate_zip64",31444074536,32450284691017,""
"none_deflate_zip64",47166111700,48675427044265,""
"none_deflate_zip64",70749167446,73013140574137,""
"none_deflate_zip64",106123751065,109519710868945,""
"none_deflate_zip64",159185626493,164279566310641,""
"none_deflate_zip64",238778439635,246419349473185,""
"none_deflate_zip64",358167659348,369629024217001,""
"none_deflate_zip64",537251488918,554443536333241,""
"none_deflate_zip64",805877233273,831665304507601,""
"none_deflate_zip64",1208815849805,1247497956768625,""
"none_deflate_zip64",1813223774603,1871246935160161,""
"none_deflate_zip64",2719835661800,2806870402747465,""
"none_deflate_zip64",4079753492596,4210305604128937,""
"none_deflate_zip64",6119630238790,6315458406201145,""
"none_deflate_zip64",9179445358081,9473187609309456,""
"none_deflate_zip64",13769168037017,14209781413971408,""
"none_deflate_zip64",20653752055421,21314672120964336,""
"none_deflate_zip64",30980628083027,31972008181453728,""
"none_deflate_zip64",46470942124436,47958012272187816,""
"none_deflate_zip64",69706413186550,71937018408289464,""
"none_deflate_zip64",104559619779721,107905527612441936,""
"none_deflate_zip64",156839429669477,161858291418670112,""
"none_deflate_zip64",235259144504111,242787437128012416,""
"none_deflate_zip64",352888716756062,364181155692025856,""
"none_deflate_zip64",529333075133989,546271733538046528,""
"none_deflate_zip64",793999612700879,819407600307076992,""
"none_deflate_zip64",1190999419051214,1229111400460622592,""
"none_deflate_zip64",1786499128576717,1843667100690941696,""
"none_deflate_zip64",2679748692864971,2765500651036420096,""
"none_deflate_zip64",4019623039297352,4148250976554637312,""
"none_bzip2",3090,4268628855,""
"none_bzip2",6158,8537257710,""
"none_bzip2",12294,17074515420,""
"none_bzip2",24566,34149030840,""
"none_bzip2",49110,68298061680,""
"none_bzip2",98198,136596123360,""
"none_bzip2",196430,273192246720,""
"none_bzip2",392910,546384493440,""
"none_bzip2",785870,1092768986880,""
"none_bzip2",1571790,2185537973760,""
"none_bzip2",3143630,4371075947520,""
"none_bzip2",6288742,8742151895040,""
"none_bzip2",12580198,17484303790080,""
"none_bzip2",25163110,34968607580160,""
"none_bzip2",50328934,69937215160320,""
"none_bzip2",100660582,139874430320640,""
"none_bzip2",201352826,279740323383570,""
"none_bzip2",338,321294645,""
"none_bzip2",466,504891585,""
"none_bzip2",658,780286995,""
"none_bzip2",914,1147480875,""
"none_bzip2",1362,1790070165,""
"none_bzip2",1970,2662155630,""
"none_bzip2",2930,4039132680,""
"none_bzip2_zip64",446,321294645,""
"none_bzip2_zip64",574,504891585,""
"none_bzip2_zip64",766,780286995,""
"none_bzip2_zip64",1022,1147480875,""
"none_bzip2_zip64",1470,1790070165,""
"none_bzip2_zip64",2078,2662155630,""
"none_bzip2_zip64",3038,4039132680,""
"none_bzip2_zip64",4446,6058699020,""
"none_bzip2_zip64",6590,9133947765,""
"none_bzip2_zip64",9790,13723871265,""
"none_bzip2_zip64",14590,20608756515,""
"none_bzip2_zip64",21790,30936084390,""
"none_bzip2_zip64",32574,46404126585,""
"none_bzip2_zip64",48766,69629139495,""
"none_bzip2_zip64",73086,104512558095,""
"none_bzip2_zip64",109502,156745887525,""
"none_bzip2_zip64",164190,235187680140,""
"none_bzip2_zip64",246174,352781520210,""
"none_bzip2_zip64",369150,529172280315,""
"none_bzip2_zip64",553630,793781370090,""
"none_bzip2_zip64",830366,1190717954370,""
"none_bzip2_zip64",1245438,1786076931555,""
"none_bzip2_zip64",1868062,2679138346950,""
"none_bzip2_zip64",2802014,4018753419660,""
"none_bzip2_zip64",4202910,6028130129490,""
"none_bzip2_zip64",6304286,9042241093470,""
"none_bzip2_zip64",9456318,13563361640205,""
"none_bzip2_zip64",14184382,20345065409925,""
"none_bzip2_zip64",21276510,30517666963740,""
"none_bzip2_zip64",31914654,45776500445610,""
"none_bzip2_zip64",47871870,68664750668415,""
"none_bzip2_zip64",71807710,102997148952240,""
"none_bzip2_zip64",107711486,154495769327595,""
"none_bzip2_zip64",161567102,231743631041775,""
"none_bzip2_zip64",242350558,347615469512280,""
"none_bzip2_zip64",363525758,521423250167655,""
"none_bzip2_zip64",545288542,782134898201100,""
"none_bzip2_zip64",817932734,1173202393200885,""
"none_bzip2_zip64",1226899006,1759803612750945,""
"none_bzip2_zip64",1840348382,2639705396176800,""
"none_bzip2_zip64",2760522494,3959558140164435,""
"none_bzip2_zip64",4140783646,5939337233196270,""
"none_bzip2_zip64",6211175358,8909005849794405,""
"none_bzip2_zip64",9316762942,13363508797641224,""
"none_bzip2_zip64",13975144350,20045263265310688,""
"none_bzip2_zip64",20962716414,30067894897966036,""
"none_bzip2_zip64",31444074526,45101842369898672,""
"none_bzip2_zip64",47166111678,67652763554848008,""
"none_bzip2_zip64",70749167422,101479145355221632,""
"none_bzip2_zip64",106123751038,152218718055782048,""
"none_bzip2_zip64",159185626462,228328077106622688,""
"none_bzip2_zip64",238778439614,342492115705833280,""
"none_bzip2_zip64",358167659326,513738173581699520,""
"none_bzip2_zip64",537251488894,770607260395498880,""
"none_bzip2_zip64",805877233246,1155910890616198144,""
"none_bzip2_zip64",1208815849790,1733866335970196224,""
"none_bzip2_zip64",1813223774590,2600799503978244096,""
"none_bzip2_zip64",2719835661790,3901199255990315520,""
"full_deflate",250,181634,""
"full_deflate",375,513939,""
"full_deflate",562,1336445,""
"full_deflate",843,3294152,""
"full_deflate",1265,7861789,""
"full_deflate",1898,18372715,""
"full_deflate",2847,42384270,""
"full_deflate",4271,96582860,""
"full_deflate",6407,218435250,""
"full_deflate",9610,493089700,""
"full_deflate",14416,1112083350,""
"full_deflate",21624,2505902625,""
"full_deflate",32436,5643843218,""
"full_deflate",48654,12707020634,""
"full_deflate",72982,28604151160,""
"full_deflate",109473,64378163220,""
"full_deflate",164210,144235480641,""
"full_deflate",246315,322832702815,""
"full_deflate",369472,723831506463,""
"full_deflate",554209,1624822122820,""
"full_deflate",831314,3650152800816,""
"full_deflate",1246971,8204297273009,""
"full_deflate",1870456,18446844806300,""
"full_deflate",2805685,41486214633971,""
"full_deflate",4208528,93315187007397,""
"full_deflate",6312792,208856479601781,""
"full_deflate_zip64",250,27865,""
"full_deflate_zip64",375,191954,""
"full_deflate_zip64",562,684219,""
"full_deflate_zip64",843,2012406,""
"full_deflate_zip64",1265,5294169,""
"full_deflate_zip64",1898,13142535,""
"full_deflate_zip64",2847,31473959,""
"full_deflate_zip64",4271,73757075,""
"full_deflate_zip64",6407,169524628,""
"full_deflate_zip64",9610,386605855,""
"full_deflate_zip64",14416,877831703,""
"full_deflate_zip64",21624,1986934547,""
"full_deflate_zip64",32436,4488366413,""
"full_deflate_zip64",48654,10125513812,""
"full_deflate_zip64",72982,22823132623,""
"full_deflate_zip64",109473,51412213031,""
"full_deflate_zip64",164210,115726920972,""
"full_deflate_zip64",246315,259123592029,""
"full_deflate_zip64",369472,581137370366,""
"full_deflate_zip64",554209,1304733909833,""
"full_deflate_zip64",831314,2931413856296,""
"full_deflate_zip64",1246971,6589323523159,""
"full_deflate_zip64",1870456,14816437347749,""
"full_deflate_zip64",2805685,33322712664495,""
"full_deflate_zip64",4208528,74954682428778,""
